"Wavelength (nm)","Norm SNSPD Counts (dB)"
1538.4,-34.91325026305029
1538.41,-34.67702053241913
1538.42,-34.680984856361746
1538.43,-34.4221210700674
1538.44,-34.15394606823092
1538.45,-34.14274332796002
1538.46,-33.97752632681042
1538.47,-33.89283568317998
1538.48,-33.733810653483744
1538.49,-33.50612604715244
1538.5,-33.42082557182091
1538.51,-33.305359233354636
1538.52,-33.201362906742375
1538.5300000000002,-33.107669528759104
1538.5400000000002,-33.0308635287615
1538.5500000000002,-32.96066803643454
1538.5600000000002,-32.96433741972491
1538.5700000000002,-32.78973672212362
1538.5800000000002,-32.76535130822934
1538.5900000000001,-32.766297416125425
1538.6000000000001,-32.63457810390126
1538.6100000000001,-32.73009064887055
1538.6200000000001,-32.57152061584142
1538.63,-32.52870403619984
1538.64,-32.5317566183594
1538.65,-32.534103511210674
1538.66,-32.54732238978442
1538.67,-32.445719761085236
1538.68,-32.374379604748846
1538.69,-32.42605290077736
1538.7,-32.37239682518394
1538.71,-32.367020058662675
1538.72,-32.33127064380138
1538.73,-32.22742255016784
1538.74,-32.217070430581394
1538.75,-32.210516802952604
1538.76,-32.13972237494926
1538.77,-32.09771997885846
1538.7800000000002,-32.056544022362054
1538.7900000000002,-31.973691294197288
1538.8000000000002,-31.86403884894489
1538.8100000000002,-31.766276270840077
1538.8200000000002,-31.71804106019946
1538.8300000000002,-31.582927388212504
1538.8400000000001,-31.48844548198959
1538.8500000000001,-31.456154200869022
1538.8600000000001,-31.354929754978343
1538.8700000000001,-31.15192607330095
1538.88,-31.08434301955542
1538.89,-30.96454071436279
1538.9,-30.900376445036073
1538.91,-30.76466128959501
1538.92,-30.731125822883733
1538.93,-30.629913773511657
1538.94,-30.493592034635878
1538.95,-30.350020714563733
1538.96,-30.323008395388182
1538.97,-30.139878275337256
1538.98,-30.079739518039634
1538.99,-30.012277882234084
1539.,-29.881580343121694
1539.01,-29.801490363440436
1539.02,-29.707260256342003
1539.0300000000002,-29.64727498271296
1539.0400000000002,-29.558100895408153
1539.0500000000002,-29.472587346114434
1539.0600000000002,-29.388974778724336
1539.0700000000002,-29.278983639810633
1539.0800000000002,-29.199500273018806
1539.0900000000001,-29.15524481847582
1539.1000000000001,-29.074908246744226
1539.1100000000001,-29.002049611581505
1539.1200000000001,-28.938919938980064
1539.13,-28.89402646014084
1539.14,-28.839856983706568
1539.15,-28.745374291286684
1539.16,-28.680859715895423
1539.17,-28.571694832624193
1539.18,-28.517143240919154
1539.19,-28.47284219228426
1539.2,-28.366998373826956
1539.21,-28.27342588928928
1539.22,-28.163131191855054
1539.23,-28.09343770974727
1539.24,-27.982152559965577
1539.25,-27.862183360300104
1539.26,-27.75987168892562
1539.27,-27.69177335397742
1539.2800000000002,-27.6038269175405
1539.2900000000002,-27.48793354978115
1539.3000000000002,-27.39713734805933
1539.3100000000002,-27.328091046238505
1539.3200000000002,-27.266036780147267
1539.3300000000002,-27.127277255747227
1539.3400000000001,-27.051733146380492
1539.3500000000001,-26.99841166696657
1539.3600000000001,-26.891185241775624
1539.3700000000001,-26.79263808461443
1539.38,-26.686275627812147
1539.39,-26.644090869645886
1539.4,-26.543536833116356
1539.41,-26.469163405911345
1539.42,-26.460475328005195
1539.43,-26.34225419825366
1539.44,-26.28434943275886
1539.45,-26.22832647011915
1539.46,-26.19430010213874
1539.47,-26.162451931349487
1539.48,-26.05949261549817
1539.49,-26.058189455997507
1539.5,-25.965853059155577
1539.51,-25.893344211282013
1539.52,-25.938682472671143
1539.5300000000002,-25.831004147137904
1539.5400000000002,-25.797641554303933
1539.5500000000002,-25.71232134902704
1539.5600000000002,-25.59366117341461
1539.5700000000002,-25.57352881906912
1539.5800000000002,-25.518461190908255
1539.5900000000001,-25.38674760029909
1539.6000000000001,-25.28064628866797
1539.6100000000001,-25.178943147037188
1539.6200000000001,-25.14258037920335
1539.63,-24.99840702808494
1539.64,-24.949220891969585
1539.65,-24.87458155118005
1539.66,-24.68052027938363
1539.67,-24.584261083577836
1539.68,-24.443588277614797
1539.69,-24.333213664327612
1539.7,-24.234059191719606
1539.71,-24.082215706635903
1539.72,-23.988263313374517
1539.73,-23.81639432282781
1539.74,-23.68142927336171
1539.75,-23.58578866721828
1539.76,-23.426673513934354
1539.77,-23.317519329337998
1539.7800000000002,-23.185678483291852
1539.7900000000002,-23.019556325090296
1539.8000000000002,-22.908364157270306
1539.8100000000002,-22.757630846406705
1539.8200000000002,-22.641928507680205
1539.8300000000002,-22.522994537970014
1539.8400000000001,-22.401478780341918
1539.8500000000001,-22.28388979299325
1539.8600000000001,-22.144212548698437
1539.8700000000001,-22.033915780453253
1539.88,-21.95075658092136
1539.89,-21.825546448913382
1539.9,-21.74329456336741
1539.91,-21.663689124193255
1539.92,-21.551886615076086
1539.93,-21.46749522834879
1539.94,-21.36800963950368
1539.95,-21.269240143128417
1539.96,-21.19087143579287
1539.97,-21.13735868406843
1539.98,-21.007446440447207
1539.99,-20.953871032249715
1540.,-20.848028885865453
1540.01,-20.739096149064572
1540.02,-20.6076599691688
1540.0300000000002,-20.52405988244133
1540.0400000000002,-20.45142894137498
1540.0500000000002,-20.333806044439203
1540.0600000000002,-20.253735460881938
1540.0700000000002,-20.120964542889865
1540.0800000000002,-19.98389610508072
1540.0900000000001,-19.89643147077177
1540.1000000000001,-19.7575078507122
1540.1100000000001,-19.645012908289093
1540.1200000000001,-19.48050027119479
1540.13,-19.374967961645254
1540.14,-19.18181691863958
1540.15,-19.034104810659404
1540.16,-18.905582968258216
1540.17,-18.744398341975785
1540.18,-18.607622944974523
1540.19,-18.430691546654245
1540.2,-18.235538962534893
1540.21,-18.05934931604888
1540.22,-17.882427310500553
1540.23,-17.70727053586184
1540.24,-17.500438553355785
1540.25,-17.35797792243687
1540.26,-17.182920023487192
1540.27,-16.986339756370718
1540.2800000000002,-16.815448883662636
1540.2900000000002,-16.6219041664263
1540.3000000000002,-16.454893179550474
1540.3100000000002,-16.230209190588273
1540.3200000000002,-16.079554728961444
1540.3300000000002,-15.900559346797305
1540.3400000000001,-15.748042057469307
1540.3500000000001,-15.50511170324745
1540.3600000000001,-15.231294234351767
1540.3700000000001,-15.033860839952887
1540.38,-14.821026904212966
1540.39,-14.62874731535506
1540.4,-14.441345699684723
