"Wavelength (nm)","Norm SNSPD Counts (dB)"
1538.4,-37.82198319181915
1538.41,-37.78133673078394
1538.42,-37.4398480679788
1538.43,-37.70681093119285
1538.44,-37.540787090832595
1538.45,-37.54845834650393
1538.46,-37.43242251273145
1538.47,-37.294872561949425
1538.48,-37.330393988018315
1538.49,-37.04601551764552
1538.5,-37.193079184881974
1538.51,-37.06531695389492
1538.52,-37.11032962070257
1538.5300000000002,-37.12445333743142
1538.5400000000002,-37.022615686977865
1538.5500000000002,-36.92035288525421
1538.5600000000002,-36.97440753287703
1538.5700000000002,-36.75459545039249
1538.5800000000002,-36.72753324622186
1538.5900000000001,-36.762162644214904
1538.6000000000001,-36.77743618902804
1538.6100000000001,-36.4887171597461
1538.6200000000001,-36.56860369609787
1538.63,-36.51948562240562
1538.64,-36.50280618505707
1538.65,-36.31236979728616
1538.66,-36.43745630126758
1538.67,-36.227358776769194
1538.68,-36.13958723117439
1538.69,-36.21494854804955
1538.7,-36.079755846133985
1538.71,-35.98512345639028
1538.72,-36.03392903923456
1538.73,-35.985209312067866
1538.74,-35.84068033216621
1538.75,-35.779406548735615
1538.76,-35.858417604097774
1538.77,-35.84025088912937
1538.7800000000002,-35.86284066860672
1538.7900000000002,-35.74717918483302
1538.8000000000002,-35.68567447300494
1538.8100000000002,-35.61288672285034
1538.8200000000002,-35.71591501818413
1538.8300000000002,-35.491251714268465
1538.8400000000001,-35.51046504617275
1538.8500000000001,-35.50867120856546
1538.8600000000001,-35.587071118451554
1538.8700000000001,-35.38157291143711
1538.88,-35.322632921818894
1538.89,-35.26099381549212
1538.9,-35.276313780735826
1538.91,-35.19841395509507
1538.92,-35.34649399444624
1538.93,-35.1551172725516
1538.94,-35.15860428323646
1538.95,-35.00755140135438
1538.96,-34.99353771884342
1538.97,-34.922336396120734
1538.98,-34.966830040596584
1538.99,-34.95194350542353
1539.,-34.84737182805982
1539.01,-34.83549894621114
1539.02,-34.68208998100602
1539.0300000000002,-34.784607059408486
1539.0400000000002,-34.721958124317965
1539.0500000000002,-34.67353729959253
1539.0600000000002,-34.6864770112323
1539.0700000000002,-34.578641599671734
1539.0800000000002,-34.4807653082667
1539.0900000000001,-34.4039894108651
1539.1000000000001,-34.347360919503686
1539.1100000000001,-34.26633253022163
1539.1200000000001,-34.22825628460745
1539.13,-34.46271824876581
1539.14,-34.28292622416728
1539.15,-34.20701090602031
1539.16,-34.10703452706656
1539.17,-34.17172078462512
1539.18,-34.07246974821931
1539.19,-34.161805285641805
1539.2,-34.01824496573386
1539.21,-34.02877228232485
1539.22,-33.90977625915679
1539.23,-33.9292274331132
1539.24,-33.89346187467451
1539.25,-33.877197813541116
1539.26,-33.94446477994032
1539.27,-33.837115774428035
1539.2800000000002,-33.8639767988617
1539.2900000000002,-33.67072067521565
1539.3000000000002,-33.693433886901
1539.3100000000002,-33.54995868365824
1539.3200000000002,-33.556877965533964
1539.3300000000002,-33.4775798697231
1539.3400000000001,-33.38485224032266
1539.3500000000001,-33.43567479351131
1539.3600000000001,-33.395147907871646
1539.3700000000001,-33.427222790861876
1539.38,-33.326165275655164
1539.39,-33.32063727996382
1539.4,-33.21037598225368
1539.41,-33.19971255646656
1539.42,-33.16399718586138
1539.43,-33.05212028514309
1539.44,-33.00480279365795
1539.45,-33.11575309446717
1539.46,-32.92779720719429
1539.47,-32.97057171457088
1539.48,-32.89914687053017
1539.49,-32.900659395030864
1539.5,-32.827236990991096
1539.51,-32.77337868064556
1539.52,-32.759103829132854
1539.5300000000002,-32.686073637274674
1539.5400000000002,-32.76017753091552
1539.5500000000002,-32.67040384308896
1539.5600000000002,-32.5030127820532
1539.5700000000002,-32.498400171331795
1539.5800000000002,-32.42860188662488
1539.5900000000001,-32.462414354493355
1539.6000000000001,-32.47886974070489
1539.6100000000001,-32.42371408753363
1539.6200000000001,-32.36583831712311
1539.63,-32.28955251932369
1539.64,-32.290737879719494
1539.65,-32.33542827361786
1539.66,-32.260520088996735
1539.67,-32.16423054937596
1539.68,-32.19441713988316
1539.69,-32.11190467235305
1539.7,-32.162997008697964
1539.71,-32.150081585886824
1539.72,-32.17446729589134
1539.73,-32.08422526870045
1539.74,-32.12248426015969
1539.75,-32.00035341869273
1539.76,-31.93712051708988
1539.77,-32.02915276733136
1539.7800000000002,-32.0311833708378
1539.7900000000002,-31.978449247455302
1539.8000000000002,-31.90564079707827
1539.8100000000002,-31.923643882914014
1539.8200000000002,-31.92306981909195
1539.8300000000002,-31.77456373527217
1539.8400000000001,-31.811339872201536
1539.8500000000001,-31.703048910056143
1539.8600000000001,-31.63005377959371
1539.8700000000001,-31.64747122718832
1539.88,-31.62176921381377
1539.89,-31.565135078072288
1539.9,-31.46781100803743
1539.91,-31.445578022976953
1539.92,-31.377542174926774
1539.93,-31.321362625845982
1539.94,-31.313223222230665
1539.95,-31.284586487408248
1539.96,-31.17170787716755
1539.97,-31.22133302940533
1539.98,-31.086252547996295
1539.99,-31.082515140026562
1540.,-31.01900677607292
1540.01,-30.933170449189685
1540.02,-30.874927212512727
1540.0300000000002,-30.780936162349178
1540.0400000000002,-30.781615009675292
1540.0500000000002,-30.817878538285978
1540.0600000000002,-30.73952374977349
1540.0700000000002,-30.772310830149586
1540.0800000000002,-30.683186340545724
1540.0900000000001,-30.76209000984862
1540.1000000000001,-30.66352430838675
1540.1100000000001,-30.6782114491187
1540.1200000000001,-30.565312636688915
1540.13,-30.508446232723877
1540.14,-30.460121037733767
1540.15,-30.502428334726616
1540.16,-30.449094602952847
1540.17,-30.365272936962132
1540.18,-30.470480462169984
1540.19,-30.448667868503783
1540.2,-30.366060294061036
1540.21,-30.32188163032599
1540.22,-30.351160905731767
1540.23,-30.46052052720366
1540.24,-30.349648345245413
1540.25,-30.43250953513048
1540.26,-30.35065166401935
1540.27,-30.39614258611449
1540.2800000000002,-30.396194423616173
1540.2900000000002,-30.348741904286246
1540.3000000000002,-30.320835655676298
1540.3100000000002,-30.313993532734806
1540.3200000000002,-30.303330778732832
1540.3300000000002,-30.361692951005015
1540.3400000000001,-30.437283658422103
1540.3500000000001,-30.337092581015014
1540.3600000000001,-30.247466243067826
1540.3700000000001,-30.212083395079272
1540.38,-30.179415373317042
1540.39,-30.148282673327472
1540.4,-30.119002690817712
1540.41,-30.144214112253138
