Normalized Switching Current,On-chip Detection Efficiency
0.502685594,0.12070567
0.509768147,0.129651813
0.515330084,0.140335587
0.520954528,0.152572288
0.526268598,0.165411288
0.530219395,0.178272372
0.536172533,0.192294889
0.541273221,0.20772578
0.546835159,0.223443768
0.554227008,0.240836145
0.559505515,0.257668385
0.564911188,0.274475529
0.570453727,0.292795446
0.576626713,0.311834107
0.582192962,0.329851871
0.586576989,0.349812049
0.592521505,0.3687172
0.598453089,0.387979715
0.602529976,0.408373547
0.607666228,0.428304614
0.613580569,0.447720715
0.619985257,0.469342233
0.624373595,0.489241177
0.631131764,0.509437255
0.635350905,0.527851532
0.642158648,0.548190154
0.646145009,0.568793787
0.651765142,0.586064701
0.65937145,0.605759867
0.664225348,0.621973747
0.668782883,0.640607864
0.673635703,0.658489107
0.679233205,0.674388788
0.685489172,0.690253335
0.691497272,0.706103828
0.696150721,0.721868995
0.702464884,0.736224783
0.708182008,0.749807622
0.713652343,0.76254925
0.717806823,0.775941361
0.723568132,0.787015625
0.73070457,0.798969246
0.736316081,0.808397228
0.741951302,0.820737323
0.745951672,0.831717228
0.752243204,0.840124313
0.758342907,0.849443881
0.762324957,0.856459657
0.767585143,0.862224659
0.773758128,0.869077814
0.778707941,0.876632647
0.786405852,0.882708836
0.790915969,0.888724796
0.796930535,0.894647399
0.800787573,0.897308556
0.807901379,0.902548554
0.812075257,0.90616335
0.818253631,0.909843395
0.823271338,0.912572811
0.828317064,0.916745737
0.833481336,0.917407262
0.839366579,0.921327222
0.846521337,0.923550708
0.851785834,0.923911084
0.855680591,0.927847105
0.863369881,0.928879044
0.866606173,0.928164316
0.873870854,0.930970024
0.878144957,0.934573777
0.883487047,0.935225264
0.88912119,0.934503509
0.895979584,0.93471331
0.901942421,0.935502321
