"Delta Herald Wavelength / pm","Delta Signal Wavelength / pm","Counts"
-825.,-825.,0
-825.,-810.,0
-825.,-795.,0
-825.,-780.,0
-825.,-765.,0
-825.,-750.,0
-825.,-735.,0
-825.,-720.,0
-825.,-705.,0
-825.,-690.,0
-825.,-675.,0
-825.,-660.,0
-825.,-645.,0
-825.,-630.,0
-825.,-615.,0
-825.,-600.,0
-825.,-585.,0
-825.,-570.,0
-825.,-555.,0
-825.,-540.,0
-825.,-525.,0
-825.,-510.,0
-825.,-495.,0
-825.,-480.,0
-825.,-465.,0
-825.,-450.,0
-825.,-435.,0
-825.,-420.,0
-825.,-405.,0
-825.,-390.,0
-825.,-375.,0
-825.,-360.,0
-825.,-345.,0
-825.,-330.,0
-825.,-315.,0
-825.,-300.,0
-825.,-285.,0
-825.,-270.,0
-825.,-255.,0
-825.,-240.,0
-825.,-225.,1.
-825.,-210.,0
-825.,-195.,0
-825.,-180.,0
-825.,-165.,0
-825.,-150.,0
-825.,-135.,0
-825.,-120.,0
-825.,-105.,0
-825.,-90.,0
-825.,-75.,0
-825.,-60.,1.
-825.,-45.,0
-825.,-30.,0
-825.,-15.,0
-825.,0,0
-825.,15.,0
-825.,30.,0
-825.,45.,0
-825.,60.,0
-825.,75.,0
-825.,90.,0
-825.,105.,0
-825.,120.,0
-825.,135.,0
-825.,150.,0
-825.,165.,0
-825.,180.,0
-825.,195.,0
-825.,210.,0
-825.,225.,0
-825.,240.,0
-825.,255.,0
-825.,270.,0
-825.,285.,0
-825.,300.,0
-825.,315.,0
-825.,330.,0
-825.,345.,0
-825.,360.,0
-825.,375.,0
-825.,390.,0
-825.,405.,0
-825.,420.,0
-825.,435.,0
-825.,450.,0
-825.,465.,0
-825.,480.,0
-825.,495.,0
-825.,510.,0
-825.,525.,0
-825.,540.,0
-825.,555.,0
-825.,570.,0
-825.,585.,0
-825.,600.,0
-825.,615.,0
-825.,630.,0
-825.,645.,0
-825.,660.,0
-825.,675.,0
-825.,690.,0
-825.,705.,0
-825.,720.,0
-825.,735.,0
-825.,750.,0
-825.,765.,0
-825.,780.,0
-825.,795.,0
-825.,810.,0
-825.,825.,0
-810.,-825.,0
-810.,-810.,0
-810.,-795.,0
-810.,-780.,0
-810.,-765.,0
-810.,-750.,0
-810.,-735.,0
-810.,-720.,0
-810.,-705.,0
-810.,-690.,0
-810.,-675.,0
-810.,-660.,0
-810.,-645.,0
-810.,-630.,0
-810.,-615.,0
-810.,-600.,0
-810.,-585.,0
-810.,-570.,0
-810.,-555.,0
-810.,-540.,0
-810.,-525.,0
-810.,-510.,0
-810.,-495.,0
-810.,-480.,0
-810.,-465.,0
-810.,-450.,0
-810.,-435.,0
-810.,-420.,0
-810.,-405.,0
-810.,-390.,0
-810.,-375.,0
-810.,-360.,0
-810.,-345.,0
-810.,-330.,0
-810.,-315.,0
-810.,-300.,0
-810.,-285.,0
-810.,-270.,0
-810.,-255.,0
-810.,-240.,0
-810.,-225.,0
-810.,-210.,0
-810.,-195.,0
-810.,-180.,0
-810.,-165.,0
-810.,-150.,0
-810.,-135.,0
-810.,-120.,0
-810.,-105.,0
-810.,-90.,0
-810.,-75.,0
-810.,-60.,0
-810.,-45.,0
-810.,-30.,0
-810.,-15.,0
-810.,0,0
-810.,15.,0
-810.,30.,0
-810.,45.,0
-810.,60.,0
-810.,75.,0
-810.,90.,0
-810.,105.,0
-810.,120.,0
-810.,135.,0
-810.,150.,0
-810.,165.,0
-810.,180.,1.
-810.,195.,0
-810.,210.,0
-810.,225.,0
-810.,240.,0
-810.,255.,0
-810.,270.,0
-810.,285.,0
-810.,300.,0
-810.,315.,0
-810.,330.,0
-810.,345.,0
-810.,360.,0
-810.,375.,0
-810.,390.,0
-810.,405.,0
-810.,420.,0
-810.,435.,0
-810.,450.,0
-810.,465.,0
-810.,480.,0
-810.,495.,0
-810.,510.,0
-810.,525.,0
-810.,540.,0
-810.,555.,0
-810.,570.,0
-810.,585.,0
-810.,600.,0
-810.,615.,0
-810.,630.,0
-810.,645.,0
-810.,660.,0
-810.,675.,0
-810.,690.,0
-810.,705.,0
-810.,720.,0
-810.,735.,0
-810.,750.,0
-810.,765.,0
-810.,780.,0
-810.,795.,0
-810.,810.,0
-810.,825.,0
-795.,-825.,0
-795.,-810.,0
-795.,-795.,0
-795.,-780.,0
-795.,-765.,0
-795.,-750.,0
-795.,-735.,0
-795.,-720.,0
-795.,-705.,0
-795.,-690.,0
-795.,-675.,0
-795.,-660.,0
-795.,-645.,0
-795.,-630.,0
-795.,-615.,0
-795.,-600.,0
-795.,-585.,0
-795.,-570.,0
-795.,-555.,0
-795.,-540.,0
-795.,-525.,0
-795.,-510.,0
-795.,-495.,0
-795.,-480.,0
-795.,-465.,0
-795.,-450.,0
-795.,-435.,0
-795.,-420.,0
-795.,-405.,0
-795.,-390.,0
-795.,-375.,0
-795.,-360.,0
-795.,-345.,0
-795.,-330.,0
-795.,-315.,0
-795.,-300.,0
-795.,-285.,0
-795.,-270.,0
-795.,-255.,0
-795.,-240.,0
-795.,-225.,0
-795.,-210.,0
-795.,-195.,0
-795.,-180.,0
-795.,-165.,0
-795.,-150.,0
-795.,-135.,0
-795.,-120.,0
-795.,-105.,0
-795.,-90.,0
-795.,-75.,0
-795.,-60.,0
-795.,-45.,0
-795.,-30.,0
-795.,-15.,0
-795.,0,0
-795.,15.,0
-795.,30.,0
-795.,45.,0
-795.,60.,0
-795.,75.,0
-795.,90.,0
-795.,105.,0
-795.,120.,0
-795.,135.,0
-795.,150.,0
-795.,165.,0
-795.,180.,0
-795.,195.,0
-795.,210.,0
-795.,225.,0
-795.,240.,0
-795.,255.,0
-795.,270.,0
-795.,285.,0
-795.,300.,0
-795.,315.,1.
-795.,330.,0
-795.,345.,0
-795.,360.,0
-795.,375.,0
-795.,390.,0
-795.,405.,0
-795.,420.,0
-795.,435.,0
-795.,450.,0
-795.,465.,0
-795.,480.,0
-795.,495.,0
-795.,510.,0
-795.,525.,0
-795.,540.,0
-795.,555.,0
-795.,570.,0
-795.,585.,0
-795.,600.,0
-795.,615.,0
-795.,630.,0
-795.,645.,0
-795.,660.,0
-795.,675.,1.
-795.,690.,0
-795.,705.,0
-795.,720.,0
-795.,735.,0
-795.,750.,0
-795.,765.,0
-795.,780.,0
-795.,795.,0
-795.,810.,0
-795.,825.,0
-780.,-825.,0
-780.,-810.,0
-780.,-795.,0
-780.,-780.,0
-780.,-765.,0
-780.,-750.,0
-780.,-735.,0
-780.,-720.,0
-780.,-705.,0
-780.,-690.,0
-780.,-675.,0
-780.,-660.,0
-780.,-645.,0
-780.,-630.,0
-780.,-615.,0
-780.,-600.,0
-780.,-585.,0
-780.,-570.,0
-780.,-555.,0
-780.,-540.,0
-780.,-525.,0
-780.,-510.,0
-780.,-495.,0
-780.,-480.,0
-780.,-465.,0
-780.,-450.,0
-780.,-435.,0
-780.,-420.,0
-780.,-405.,0
-780.,-390.,0
-780.,-375.,0
-780.,-360.,0
-780.,-345.,0
-780.,-330.,0
-780.,-315.,0
-780.,-300.,0
-780.,-285.,0
-780.,-270.,0
-780.,-255.,0
-780.,-240.,0
-780.,-225.,0
-780.,-210.,0
-780.,-195.,0
-780.,-180.,1.
-780.,-165.,0
-780.,-150.,0
-780.,-135.,0
-780.,-120.,0
-780.,-105.,0
-780.,-90.,0
