"Wavelength Offset / pm","Indistinguishability Estimate","Error Bar (Standard Deviation)"
-162.,0.7644307960919514,0.011767136878242832
-132.,0.8327571252232109,0.011573291160509825
-102.,0.8746786433037317,0.011452468382160734
-72.,0.9279515157624529,0.011293081118198076
-41.99999999999999,0.9604860567973995,0.011195292635525409
-12.,0.9854647891695063,0.01132886657916699
18.,0.9916464824487904,0.011535387566374863
48.,0.9713812125965037,0.011307085792338696
78.,0.9155802897041309,0.011099249146162928
108.,0.89118963955976,0.011156703991766876
137.99999999999997,0.8432691527810747,0.011207274348028764
167.99999999999997,0.7727141980740098,0.011293084043695008
197.99999999999997,0.7391303859725318,0.011632768663883379
0.,1.0086620733521705,0.010862008755339266
