""Each entry is a "(time (ns),voltage (mV))" pair. Each row is an individual trace""
"(0., -7.36401664)","(0.10000000000000142, -10.309623296)","(0.1999999999999993, -7.36401664)","(0.3000000000000007, -11.782426624)","(0.3999999999999986, -8.836819967999899)","(0.5, 2.945606656)","(0.5999999999999979, 16.200836608)","(0.6999999999999993, 27.983263232)","(0.8000000000000007, 35.347279871999895)","(0.9000000000000021, 39.765689856)","(1., 39.765689856)","(1.1000000000000014, 36.8200832)","(1.1999999999999993, 29.45606656)","(1.2999999999999972, 23.564853248)","(1.3999999999999986, 11.782426624)","(1.5, 4.4184099839999)","(1.6000000000000014, 1.472803328)","(1.6999999999999993, -4.4184099839999)","(1.8000000000000007, -8.836819967999899)","(1.9000000000000021, -11.782426624)","(2., -13.255229952)"
"(0., -7.36401664)","(0.10000000000000142, -4.4184099839999)","(0.1999999999999993, -5.891213312)","(0.3000000000000007, -1.472803328)","(0.3999999999999986, -4.4184099839999)","(0.5, 4.4184099839999)","(0.5999999999999979, 16.200836608)","(0.6999999999999993, 26.510459904)","(0.8000000000000007, 35.347279871999895)","(0.9000000000000021, 41.238493184)","(1., 44.184099839999995)","(1.1000000000000014, 39.765689856)","(1.1999999999999993, 35.347279871999895)","(1.2999999999999972, 27.983263232)","(1.3999999999999986, 17.6736399359999)","(1.5, 5.891213312)","(1.6000000000000014, -4.4184099839999)","(1.6999999999999993, -8.836819967999899)","(1.8000000000000007, -16.200836608)","(1.9000000000000021, -23.564853248)","(2., -25.037656576)"
"(0., -8.836819967999899)","(0.10000000000000142, -7.36401664)","(0.1999999999999993, -4.4184099839999)","(0.3000000000000007, 0.)","(0.3999999999999986, 7.36401664)","(0.5, 19.146443263999902)","(0.5999999999999979, 27.983263232)","(0.6999999999999993, 35.347279871999895)","(0.8000000000000007, 39.765689856)","(0.9000000000000021, 45.656903168)","(1., 42.711296512000004)","(1.1000000000000014, 36.8200832)","(1.1999999999999993, 27.983263232)","(1.2999999999999972, 19.146443263999902)","(1.3999999999999986, 10.309623296)","(1.5, 1.472803328)","(1.6000000000000014, 0.)","(1.6999999999999993, -10.309623296)","(1.8000000000000007, -17.6736399359999)","(1.9000000000000021, -19.146443263999902)","(2., -20.619246592)"
"(0., 2.945606656)","(0.10000000000000142, 2.945606656)","(0.1999999999999993, -1.472803328)","(0.3000000000000007, -1.472803328)","(0.3999999999999986, 0.)","(0.5, 13.255229952)","(0.5999999999999979, 22.092049919999997)","(0.6999999999999993, 32.401673216)","(0.8000000000000007, 36.8200832)","(0.9000000000000021, 41.238493184)","(1., 42.711296512000004)","(1.1000000000000014, 33.874476544)","(1.1999999999999993, 29.45606656)","(1.2999999999999972, 17.6736399359999)","(1.3999999999999986, 7.36401664)","(1.5, -1.472803328)","(1.6000000000000014, -10.309623296)","(1.6999999999999993, -11.782426624)","(1.8000000000000007, -16.200836608)","(1.9000000000000021, -20.619246592)","(2., -19.146443263999902)"
"(0., -2.945606656)","(0.10000000000000142, -4.4184099839999)","(0.1999999999999993, -7.36401664)","(0.3000000000000007, -5.891213312)","(0.3999999999999986, 0.)","(0.5, 13.255229952)","(0.5999999999999979, 26.510459904)","(0.6999999999999993, 35.347279871999895)","(0.8000000000000007, 39.765689856)","(0.9000000000000021, 42.711296512000004)","(1., 41.238493184)","(1.1000000000000014, 32.401673216)","(1.1999999999999993, 23.564853248)","(1.2999999999999972, 16.200836608)","(1.3999999999999986, 4.4184099839999)","(1.5, -1.472803328)","(1.6000000000000014, -11.782426624)","(1.6999999999999993, -14.72803328)","(1.8000000000000007, -19.146443263999902)","(1.9000000000000021, -20.619246592)","(2., -19.146443263999902)"
"(0., -1.472803328)","(0.10000000000000142, -4.4184099839999)","(0.1999999999999993, -2.945606656)","(0.3000000000000007, -4.4184099839999)","(0.3999999999999986, -5.891213312)","(0.5, 1.472803328)","(0.5999999999999979, 13.255229952)","(0.6999999999999993, 22.092049919999997)","(0.8000000000000007, 32.401673216)","(0.9000000000000021, 39.765689856)","(1., 44.184099839999995)","(1.1000000000000014, 41.238493184)","(1.1999999999999993, 35.347279871999895)","(1.2999999999999972, 30.928869887999902)","(1.3999999999999986, 23.564853248)","(1.5, 11.782426624)","(1.6000000000000014, 4.4184099839999)","(1.6999999999999993, -7.36401664)","(1.8000000000000007, -13.255229952)","(1.9000000000000021, -20.619246592)","(2., -22.092049919999997)"
"(0., 2.945606656)","(0.10000000000000142, 0.)","(0.1999999999999993, 0.)","(0.3000000000000007, 4.4184099839999)","(0.3999999999999986, 5.891213312)","(0.5, 13.255229952)","(0.5999999999999979, 20.619246592)","(0.6999999999999993, 32.401673216)","(0.8000000000000007, 36.8200832)","(0.9000000000000021, 39.765689856)","(1., 41.238493184)","(1.1000000000000014, 36.8200832)","(1.1999999999999993, 27.983263232)","(1.2999999999999972, 23.564853248)","(1.3999999999999986, 10.309623296)","(1.5, 2.945606656)","(1.6000000000000014, -4.4184099839999)","(1.6999999999999993, -10.309623296)","(1.8000000000000007, -11.782426624)","(1.9000000000000021, -19.146443263999902)","(2., -19.146443263999902)"
"(0., 0.)","(0.10000000000000142, -2.945606656)","(0.1999999999999993, 0.)","(0.3000000000000007, -4.4184099839999)","(0.3999999999999986, 1.472803328)","(0.5, 13.255229952)","(0.5999999999999979, 29.45606656)","(0.6999999999999993, 41.238493184)","(0.8000000000000007, 45.656903168)","(0.9000000000000021, 51.5481164799999)","(1., 47.129706496)","(1.1000000000000014, 39.765689856)","(1.1999999999999993, 30.928869887999902)","(1.2999999999999972, 19.146443263999902)","(1.3999999999999986, 11.782426624)","(1.5, 5.891213312)","(1.6000000000000014, -5.891213312)","(1.6999999999999993, -11.782426624)","(1.8000000000000007, -16.200836608)","(1.9000000000000021, -22.092049919999997)","(2., -23.564853248)"
"(0., -1.472803328)","(0.10000000000000142, 1.472803328)","(0.1999999999999993, -2.945606656)","(0.3000000000000007, 0.)","(0.3999999999999986, 2.945606656)","(0.5, 10.309623296)","(0.5999999999999979, 23.564853248)","(0.6999999999999993, 30.928869887999902)","(0.8000000000000007, 39.765689856)","(0.9000000000000021, 42.711296512000004)","(1., 41.238493184)","(1.1000000000000014, 33.874476544)","(1.1999999999999993, 26.510459904)","(1.2999999999999972, 23.564853248)","(1.3999999999999986, 13.255229952)","(1.5, 0.)","(1.6000000000000014, -10.309623296)","(1.6999999999999993, -8.836819967999899)","(1.8000000000000007, -14.72803328)","(1.9000000000000021, -17.6736399359999)","(2., -19.146443263999902)"
"(0., -5.891213312)","(0.10000000000000142, -7.36401664)","(0.1999999999999993, -5.891213312)","(0.3000000000000007, -5.891213312)","(0.3999999999999986, -4.4184099839999)","(0.5, -2.945606656)","(0.5999999999999979, -2.945606656)","(0.6999999999999993, 0.)","(0.8000000000000007, 1.472803328)","(0.9000000000000021, 5.891213312)","(1., 4.4184099839999)","(1.1000000000000014, 4.4184099839999)","(1.1999999999999993, 2.945606656)","(1.2999999999999972, 4.4184099839999)","(1.3999999999999986, 1.472803328)","(1.5, 4.4184099839999)","(1.6000000000000014, 1.472803328)","(1.6999999999999993, -2.945606656)","(1.8000000000000007, -4.4184099839999)","(1.9000000000000021, -7.36401664)","(2., -7.36401664)"
