"Bias Voltage (V)","Pockels Coefficient (pm / V)"
0.,1080.
0.009,1080.
0.044,1070.
0.132,1070.
0.298,1060.
0.569,1040.
0.971,998.0000000000001
1.53,905.
2.272,709.
3.223,287.
4.411,-230.
5.86,-523.
7.596,-687.
9.648,-765.
12.039,-791.
14.797,-777.
17.947,-733.
21.517,-678.
25.531,-616.
30.017,-555.
35.,-499.00000000000006
30.017,-559.
25.531,-630.
21.517,-704.
17.947,-788.
14.797,-866.
12.039,-938.0000000000001
9.648,-1010.
7.596,-1060.
5.86,-1100.
4.411,-1130.
3.223,-1150.
2.272,-1160.
1.53,-1160.
0.971,-1150.
0.569,-1140.
0.298,-1120.
0.132,-1110.
0.044,-1110.
0.009,-1100.
0.,-1090.
-0.009,-1090.
-0.044,-1090.
-0.132,-1090.
-0.298,-1080.
-0.569,-1060.
-0.971,-1010.
-1.53,-899.
-2.272,-685.
-3.223,-239.
-4.411,278.
-5.86,554.
-7.596,707.
-9.648,785.
-12.039,813.
-14.797,807.
-17.947,768.
-21.517,715.
-25.531,651.
-30.017,588.
-35.,523.
-30.017,589.
-25.531,662.
-21.517,738.
-17.947,817.
-14.797,892.
-12.039,956.9999999999999
-9.648,1020.
-7.596,1070.
-5.86,1100.
-4.411,1130.
-3.223,1140.
-2.272,1150.
-1.53,1150.
-0.971,1140.
-0.569,1130.
-0.298,1110.
-0.132,1100.
-0.044,1100.
-0.009,1090.
