Voltage (V),Normalized Optical Power
3.9,0.040908987
4,0.023337661
4.1,0.01084655
4.2,0.002777029
4.3,3.16E-06
4.4,0.002348951
4.5,0.00977072
4.6,0.022534155
4.7,0.040177998
4.8,0.063648267
4.9,0.090560526
5,0.123167955
5.1,0.158614036
5.2,0.1987392
5.3,0.241713152
5.4,0.287804634
5.5,0.334947354
5.6,0.384905533
5.7,0.435389054
5.8,0.488087059
5.9,0.54004642
6,0.590089756
6.1,0.638728459
6.2,0.686252391
6.3,0.731086558
6.4,0.775702673
6.5,0.814981226
6.6,0.8522618
6.7,0.885928804
6.8,0.915064653
6.9,0.940456758
7,0.961252031
7.1,0.977216393
7.2,0.987552944
7.3,0.995361551
7.4,0.99565857
7.5,0.991553483
7.6,0.982021939
7.7,0.967352455
7.8,0.948344285
7.9,0.92435802
8,0.896914647
