Wavelength (nm),Scattered Light Coupling (dB) (snspd 1),Scattered Light Coupling (dB) (snspd 2),Scattered Light Coupling (dB) (snspd 3)
1450,-126.4669479,-126.7131726,-127.727749
1450.668896,-125.4705897,-125.988906,-127.2587308
1451.337793,-125.846696,-126.1526636,-125.9362444
1452.006689,-126.9442152,-127.7051168,-128.9238119
1452.675585,-127.5306531,-126.3579401,-125.150192
1453.344482,-127.0334196,-128.8923712,-124.4720862
1454.013378,-126.3051388,-127.9021473,-125.3226963
1454.682274,-123.8647679,-126.1842587,-126.8008277
1455.351171,-127.4780336,-125.1812927,-125.5310685
1456.020067,-127.3575876,-127.2732559,-125.3217132
1456.688963,-125.8626874,-124.568295,-125.773139
1457.35786,-126.8370159,-127.4439943,-125.7121316
1458.026756,-128.1098819,-126.0247184,-122.654797
1458.695652,-124.1884296,-125.9393469,-125.6778197
1459.364548,-126.8703299,-124.9731083,-125.6588725
1460.033445,-124.0418441,-126.4242358,-125.9499893
1460.702341,-125.5841496,-126.3534597,-125.4727859
1461.371237,-125.1598254,-125.1343535,-126.1609769
1462.040134,-123.1672493,-125.4764962,-124.3850515
1462.70903,-125.9308405,-126.4121012,-122.5010953
1463.377926,-123.5050984,-125.0249053,-125.5944391
1464.046823,-128.8956057,-123.985882,-122.7560135
1464.715719,-124.4563121,-125.2917726,-124.4346515
1465.384615,-121.9112794,-121.0595633,-124.5517437
1466.053512,-120.1635738,-121.0467513,-124.4178828
1466.722408,-127.9777595,-125.137793,-122.914345
1467.391304,-123.7039982,-123.5460555,-122.7599915
1468.060201,-123.1615968,-123.8232042,-121.750054
1468.729097,-125.7230166,-124.0096723,-124.1064011
1469.397993,-127.0720695,-124.10072,-123.8167663
1470.06689,-123.6675752,-124.0242159,-125.0326189
1470.735786,-122.5794629,-126.7742597,-124.2708869
1471.404682,-123.6293461,-126.0816718,-122.646259
1472.073579,-124.6358969,-123.7623499,-122.8525401
1472.742475,-122.0250695,-124.6574839,-123.6523425
1473.411371,-121.0660539,-123.9901625,-123.2748797
1474.080268,-123.0279772,-124.9909237,-119.115911
1474.749164,-122.9999878,-122.6512029,-122.1010597
1475.41806,-123.5545911,-123.2721586,-124.7982603
1476.086957,-125.1758941,-125.7160857,-122.3075752
1476.755853,-123.235498,-122.0514193,-121.6397363
1477.424749,-123.0247437,-121.279314,-124.501507
1478.093645,-120.7348384,-122.7298173,-119.6772841
1478.762542,-121.7249868,-123.4234916,-121.8880119
1479.431438,-122.3547314,-120.4937766,-123.70652
1480.100334,-120.9041027,-119.9463964,-121.9017437
1480.769231,-122.9313222,-121.7849344,-118.7342883
1481.438127,-123.8760627,-122.2289456,-122.3987666
1482.107023,-121.6873204,-123.0661302,-122.0265113
1482.77592,-123.5135921,-119.8386551,-121.7134273
1483.444816,-122.8774397,-124.2896141,-122.0350853
1484.113712,-122.9022945,-119.4794247,-122.2520574
1484.782609,-125.027366,-122.4261159,-120.4219348
1485.451505,-123.0702125,-124.2174082,-119.6601091
1486.120401,-124.9937416,-120.2067365,-121.4273192
1486.789298,-120.3594057,-123.4769444,-122.6024066
1487.458194,-121.9437632,-124.5981672,-122.4239958
1488.12709,-122.4544303,-123.3768675,-124.1753155
1488.795987,-118.8117293,-120.9624452,-122.9387545
1489.464883,-123.5293733,-124.5502786,-122.789366
1490.133779,-122.2328492,-124.0377891,-121.4661405
1490.802676,-121.6378329,-123.6921468,-122.7794494
1491.471572,-121.4880238,-121.0483623,-120.005763
1492.140468,-124.0114184,-120.8623544,-119.8877948
1492.809365,-122.0610996,-122.7183853,-123.5615942
1493.478261,-123.7280714,-123.8348705,-122.713495
1494.147157,-122.556749,-121.9682754,-122.1266612
1494.816054,-123.5968825,-121.3035148,-120.3853291
1495.48495,-122.3458461,-123.7142257,-121.2660097
1496.153846,-123.0059753,-122.2040512,-120.9138257
1496.822742,-122.7861916,-122.9473311,-122.1208344
1497.491639,-124.7377677,-122.2913438,-118.9959551
1498.160535,-120.9005834,-119.6208827,-120.0916451
1498.829431,-120.0393444,-121.2026298,-123.9126289
1499.498328,-122.1916916,-119.7094705,-120.5628454
1500.167224,-123.9179265,-121.122714,-120.9812375
1500.83612,-117.2122758,-120.9213609,-123.3377244
1501.505017,-122.1927637,-122.3942118,-120.637597
1502.173913,-118.007209,-123.0914278,-120.9888426
1502.842809,-122.9080129,-122.0725524,-123.0416525
1503.511706,-122.6531357,-122.6117083,-123.8064667
1504.180602,-118.0391411,-121.8075436,-121.5574426
1504.849498,-119.8751317,-121.3805032,-121.7696839
1505.518395,-124.2521737,-122.0296853,-122.1513444
1506.187291,-121.3754368,-121.8578868,-124.657914
1506.856187,-122.6262233,-122.4103804,-120.0443971
1507.525084,-121.1590408,-120.261595,-119.2557239
1508.19398,-122.4369129,-122.8183568,-123.1434908
1508.862876,-121.6829491,-123.4383954,-120.867499
1509.531773,-122.7952704,-122.6964024,-118.0288225
1510.200669,-121.8902855,-123.1510866,-123.7901842
1510.869565,-123.1455069,-121.5056049,-123.6921979
1511.538462,-123.1038298,-123.6304085,-123.9836882
1512.207358,-123.6722883,-120.8309267,-119.3283951
1512.876254,-121.953639,-121.5503959,-122.8499912
1513.545151,-122.9693108,-122.4776618,-118.8035896
1514.214047,-121.9001319,-122.8460076,-121.2323276
1514.882943,-122.0539587,-120.2812285,-122.1983358
1515.551839,-119.4359457,-120.4440546,-118.1511056
1516.220736,-121.3697362,-120.0796652,-121.2289803
1516.889632,-117.9536661,-122.4890868,-122.5423751
1517.558528,-122.41889,-122.9876785,-118.8941763
1518.227425,-118.3248429,-121.8654281,-120.5019292
1518.896321,-120.0453793,-120.8250606,-121.9022513
1519.565217,-122.0662626,-120.4359748,-119.7194029
1520.234114,-121.828288,-122.737953,-120.3216501
1520.90301,-122.258941,-120.8247196,-122.3737392
1521.571906,-121.6902668,-122.0046222,-119.2769388
1522.240803,-120.0355321,-119.6947342,-118.8306881
1522.909699,-119.7386428,-121.1971085,-121.4819939
1523.578595,-121.5489283,-122.9027097,-118.4332118
1524.247492,-121.2493644,-121.8122416,-121.7783563
1524.916388,-118.0656485,-122.1564743,-118.2264264
1525.585284,-123.7079377,-120.9407261,-120.9222455
1526.254181,-122.1915731,-123.2355534,-122.4463643
1526.923077,-119.6317789,-119.2104324,-120.9130495
1527.591973,-119.7949535,-121.2788902,-119.0090297
1528.26087,-121.509228,-122.5661749,-119.0728282
1528.929766,-119.0577229,-120.3431515,-117.2531622
1529.598662,-119.4480784,-120.6697561,-120.3032172
1530.267559,-116.4882663,-123.1290752,-120.2111818
1530.936455,-119.7143996,-122.4426783,-120.0011668
1531.605351,-119.6026892,-121.9901842,-121.0164908
1532.274247,-120.6584732,-121.6535531,-120.3663303
1532.943144,-118.5722799,-118.519187,-120.0840665
1533.61204,-122.5374558,-119.4286722,-119.2693386
1534.280936,-119.7236689,-120.9916557,-121.2212922
1534.949833,-118.1499967,-118.4343994,-121.7111572
1535.618729,-119.8477569,-120.9310324,-122.4291958
1536.287625,-120.689919,-121.3015835,-122.0369047
1536.956522,-120.3646713,-118.7646269,-121.5773649
1537.625418,-121.7617871,-122.3560109,-121.2391688
1538.294314,-119.4048996,-122.4151996,-121.0321726
1538.963211,-121.7359023,-121.7580038,-119.6426577
1539.632107,-119.8123055,-119.9052445,-122.7246928
1540.301003,-120.6656299,-120.9032971,-118.370725
1540.9699,-119.7957704,-120.9539161,-120.9629545
1541.638796,-119.7739285,-121.5937411,-120.2845934
1542.307692,-119.6958691,-119.390276,-120.3561699
1542.976589,-119.1929178,-122.1424763,-119.2236102
1543.645485,-120.1470644,-118.0251419,-119.3401197
1544.314381,-118.931081,-119.793644,-120.2519986
1544.983278,-120.0386577,-116.2988554,-118.7174844
1545.652174,-119.2360884,-120.5137951,-121.8644722
1546.32107,-121.6393749,-120.382127,-120.8897273
1546.989967,-122.3948562,-120.7460815,-119.7857285
1547.658863,-118.2938847,-118.4346406,-117.0581213
1548.327759,-118.8836667,-120.5409375,-121.5981158
1548.996656,-119.1625399,-117.0526164,-121.1237657
1549.665552,-122.4220681,-122.137791,-116.4755432
1550.334448,-121.315389,-119.851283,-117.8100832
1551.003344,-119.3123603,-120.090447,-118.9012747
1551.672241,-119.5399355,-120.2147763,-119.7647347
1552.341137,-121.0085511,-114.747551,-117.875265
1553.010033,-122.3863115,-119.6854322,-122.1916371
1553.67893,-119.3237865,-120.4557062,-119.5687058
1554.347826,-119.8910855,-119.7298277,-121.0931121
1555.016722,-117.948187,-118.8060532,-120.460133
1555.685619,-120.3593617,-121.0182564,-119.0881952
1556.354515,-118.7755327,-120.1799416,-119.9144158
1557.023411,-122.1079273,-120.3199317,-115.8411943
1557.692308,-119.9044604,-121.862316,-119.6617746
1558.361204,-116.5855135,-121.2873959,-118.6782682
1559.0301,-121.2809012,-119.369054,-118.0647813
1559.698997,-119.2622178,-122.538884,-120.6321926
1560.367893,-119.6370739,-115.6067258,-118.5397929
1561.036789,-119.6807994,-120.1650182,-118.6510316
1561.705686,-118.1548316,-121.641204,-121.275694
1562.374582,-119.2160004,-119.2220787,-119.6972611
1563.043478,-118.0118311,-117.8981944,-120.3533211
1563.712375,-118.6305987,-119.9838635,-118.1916459
1564.381271,-119.7723268,-118.8507653,-118.7964778
1565.050167,-118.7624293,-119.5498792,-120.1148745
1565.719064,-121.994876,-121.793363,-117.355513
1566.38796,-120.545029,-121.5181672,-119.9219358
1567.056856,-121.7226731,-119.754831,-120.4117586
1567.725753,-116.7166174,-120.0655001,-116.8685324
1568.394649,-118.846708,-117.6070628,-119.8986136
1569.063545,-120.8203608,-119.4132602,-118.9718232
1569.732441,-119.416639,-120.5865673,-120.6198467
1570.401338,-118.750799,-117.1575458,-119.8075278
1571.070234,-120.6418232,-119.4417881,-122.5652247
1571.73913,-121.662295,-118.2427709,-120.4753971
1572.408027,-120.1308754,-121.131751,-120.8679099
1573.076923,-120.1608272,-120.0422412,-117.3073569
1573.745819,-118.3341921,-118.8938288,-119.484927
1574.414716,-119.2918658,-118.4029005,-119.6949788
1575.083612,-118.1308368,-119.2055637,-119.1756329
1575.752508,-117.7845646,-120.9447882,-119.9470689
1576.421405,-119.4069674,-118.3972845,-120.8781434
1577.090301,-119.8549707,-119.7407645,-120.6277649
1577.759197,-121.3560986,-121.9305311,-118.5222857
1578.428094,-117.7035357,-119.5006486,-119.1083532
1579.09699,-120.5713356,-118.710332,-120.3162637
1579.765886,-117.0507704,-115.7208637,-119.1044069
1580.434783,-117.0700783,-117.0129334,-117.9563853
1581.103679,-120.370988,-118.9773035,-116.2393502
1581.772575,-119.702883,-120.4639275,-119.2932298
1582.441472,-120.4652978,-120.9818155,-119.5800285
1583.110368,-117.8914199,-122.4607984,-119.3202934
1583.779264,-119.1124748,-115.4185156,-115.4916351
1584.448161,-117.9662578,-117.8684596,-115.6808515
1585.117057,-121.3617009,-116.2413559,-120.2268047
1585.785953,-118.4704891,-117.3337474,-119.9578352
1586.454849,-120.7380039,-121.8512725,-118.8629067
1587.123746,-119.2742934,-118.5763641,-120.2860016
1587.792642,-119.63202,-120.60917,-119.2680971
1588.461538,-120.0126337,-121.3027552,-118.9515036
1589.130435,-118.0398744,-117.8230139,-120.4691205
1589.799331,-119.6401167,-118.4246398,-118.2018759
1590.468227,-118.9820009,-120.2219859,-116.6027479
1591.137124,-122.1252885,-117.5969369,-118.573093
1591.80602,-116.9791171,-121.8952287,-121.4642569
1592.474916,-119.0708813,-118.7146142,-120.2829259
1593.143813,-120.322464,-120.2466689,-118.680402
1593.812709,-120.0078422,-120.4413951,-119.2523139
1594.481605,-119.7922975,-119.0413281,-116.0797453
1595.150502,-117.3428549,-118.2080452,-117.5764029
1595.819398,-119.4298045,-121.5902747,-118.9897871
1596.488294,-116.2789682,-119.9759079,-119.3933324
1597.157191,-122.3906064,-117.9659869,-120.1770569
1597.826087,-120.9471974,-119.7088805,-121.0546572
1598.494983,-121.0091149,-117.3180813,-117.3595327
1599.16388,-118.1106051,-117.9208882,-120.8882308
1599.832776,-121.7112469,-114.8239393,-119.9927049
1600.501672,-117.5641104,-119.8042585,-118.7385252
1601.170569,-119.7554258,-121.4060561,-118.3813675
1601.839465,-117.0824431,-119.2516184,-121.0037839
1602.508361,-119.5815378,-119.113055,-119.0048318
1603.177258,-118.5437643,-114.8372927,-119.4537245
1603.846154,-118.8957566,-118.2200105,-121.2068477
1604.51505,-116.6933314,-120.0903783,-119.9782961
1605.183946,-119.4953048,-118.6299852,-118.4272612
1605.852843,-119.5517141,-118.5166953,-120.1682831
1606.521739,-119.5359613,-121.3000544,-120.7034633
1607.190635,-116.9936443,-119.59195,-118.2171317
1607.859532,-118.5820816,-120.3454937,-120.8373739
1608.528428,-118.7190369,-121.2289122,-118.8740631
1609.197324,-117.5375914,-117.2502856,-120.5478913
1609.866221,-120.0562753,-120.5459304,-121.018365
1610.535117,-118.2337409,-118.5357264,-116.3142135
1611.204013,-119.9331576,-117.5698007,-120.989997
1611.87291,-120.7580065,-121.3098162,-120.2831928
1612.541806,-118.3820533,-119.3321263,-122.2253586
1613.210702,-120.1512995,-117.1769216,-119.4644904
1613.879599,-120.6673957,-120.8180331,-117.2379377
1614.548495,-119.2257796,-116.3928901,-115.4800121
1615.217391,-120.1693916,-119.2965584,-118.549907
1615.886288,-116.5943292,-119.3578222,-118.4957178
1616.555184,-119.0930799,-120.6141705,-117.7576908
1617.22408,-121.9358932,-120.1603824,-118.4483224
1617.892977,-121.1166326,-118.9718933,-117.0928711
1618.561873,-120.2925765,-120.6602459,-117.6992048
1619.230769,-118.3826953,-119.5743043,-118.8694502
1619.899666,-118.4069716,-120.0550741,-117.6646474
1620.568562,-117.855113,-118.4052424,-119.154609
1621.237458,-120.5654946,-122.4799412,-119.0917557
