fusionXXHistogram,,
Photon Delay (ns),Counts (Constructive Destructive),Counts (Constructive Interference)
-249.95,0,0
-249.9,0,0
-249.85,0,0
-249.8,0,0
-249.75,0,0
-249.7,0,0
-249.65,0,0
-249.6,0,0
-249.55,0,0
-249.5,0,0
-249.45,0,0
-249.4,0,0
-249.35,0,0
-249.3,0,0
-249.25,0,0
-249.2,0,0
-249.15,0,0
-249.1,0,0
-249.05,0,0
-249,0,0
-248.95,0,0
-248.9,0,0
-248.85,0,0
-248.8,0,0
-248.75,0,0
-248.7,0,0
-248.65,0,0
-248.6,0,0
-248.55,0,0
-248.5,0,0
-248.45,0,0
-248.4,0,0
-248.35,0,0
-248.3,0,0
-248.25,0,2
-248.2,4,8
-248.15,28,20
-248.1,112,78
-248.05,160,150
-248,348,304
-247.95,370,324
-247.9,194,166
-247.85,128,100
-247.8,76,64
-247.75,34,22
-247.7,4,6
-247.65,14,6
-247.6,4,6
-247.55,10,0
-247.5,0,0
-247.45,0,2
-247.4,0,0
-247.35,0,0
-247.3,0,0
-247.25,0,0
-247.2,0,0
-247.15,0,0
-247.1,0,0
-247.05,0,0
-247,0,0
-246.95,0,0
-246.9,0,0
-246.85,0,0
-246.8,0,0
-246.75,0,0
-246.7,0,0
-246.65,0,0
-246.6,0,0
-246.55,0,0
-246.5,0,0
-246.45,0,0
-246.4,0,0
-246.35,0,0
-246.3,0,0
-246.25,0,0
-246.2,0,0
-246.15,0,0
-246.1,0,0
-246.05,0,0
-246,0,0
-245.95,0,0
-245.9,0,0
-245.85,0,0
-245.8,0,0
-245.75,0,0
-245.7,0,0
-245.65,0,0
-245.6,0,0
-245.55,0,0
-245.5,0,0
-245.45,0,0
-245.4,0,0
-245.35,0,0
-245.3,0,0
-245.25,0,0
-245.2,0,0
-245.15,0,0
-245.1,0,0
-245.05,0,0
-245,0,0
-244.95,0,0
-244.9,0,0
-244.85,0,0
-244.8,0,0
-244.75,0,0
-244.7,0,0
-244.65,0,0
-244.6,0,0
-244.55,0,0
-244.5,0,0
-244.45,0,0
-244.4,0,0
-244.35,0,0
-244.3,0,0
-244.25,0,0
-244.2,0,0
-244.15,0,0
-244.1,0,0
-244.05,0,0
-244,0,0
-243.95,0,0
-243.9,0,0
-243.85,0,0
-243.8,0,0
-243.75,0,0
-243.7,0,0
-243.65,0,0
-243.6,0,0
-243.55,0,0
-243.5,0,0
-243.45,0,0
-243.4,0,0
-243.35,0,0
-243.3,0,0
-243.25,0,0
-243.2,0,0
-243.15,0,0
-243.1,0,0
-243.05,0,0
-243,0,0
-242.95,0,0
-242.9,0,0
-242.85,0,0
-242.8,0,0
-242.75,0,0
-242.7,0,0
-242.65,0,0
-242.6,0,0
-242.55,0,0
-242.5,0,0
-242.45,0,0
-242.4,0,0
-242.35,0,0
-242.3,0,0
-242.25,0,0
-242.2,0,0
-242.15,0,0
-242.1,0,0
-242.05,0,0
-242,0,0
-241.95,0,0
-241.9,0,0
-241.85,0,0
-241.8,0,0
-241.75,0,0
-241.7,0,0
-241.65,0,0
-241.6,0,0
-241.55,0,0
-241.5,0,0
-241.45,0,0
-241.4,0,0
-241.35,0,0
-241.3,0,0
-241.25,0,0
-241.2,0,0
-241.15,0,0
-241.1,0,0
-241.05,0,0
-241,0,0
-240.95,0,0
-240.9,0,0
-240.85,0,0
-240.8,0,0
-240.75,0,0
-240.7,0,0
-240.65,0,0
-240.6,0,0
-240.55,0,0
-240.5,0,0
-240.45,0,0
-240.4,0,0
-240.35,0,0
-240.3,0,2
-240.25,0,2
-240.2,8,10
-240.15,46,30
-240.1,78,102
-240.05,182,208
-240,332,330
