die_x,die_y,loss_dB_per_m
-2,-3,0.684956618
-1,-3,0.610817916
0,-3,0.563685382
1,-3,0.687055979
2,-3,0.925261767
-3,-2,0.350584736
-2,-2,0.240925619
-1,-2,0.490547954
0,-2,0.611404516
1,-2,0.530465026
2,-2,0.609219273
3,-2,0.430055627
-4,-1,0.291647171
-3,-1,0.091919007
-2,-1,0.561150567
-1,-1,1.080276297
0,-1,1.059358183
1,-1,1.052635465
2,-1,1.006117864
3,-1,0.569207751
4,-1,0.470234489
-4,0,0.348313958
-3,0,0.271795017
-2,0,0.608845944
-1,0,1.063729417
0,0,0.932450855
1,0,0.858831002
2,0,0.716439194
3,0,0.751257822
4,0,0.320567845
-4,1,0.237961474
-3,1,0.19621455
-2,1,0.278373797
-1,1,0.666117808
0,1,0.863630883
1,1,0.84411316
2,1,0.575129887
3,1,0.713953541
4,1,0.341884398
-3,2,0.053880408
-2,2,0.10851467
-1,2,0.044240287
0,2,0.295408023
1,2,0.432295058
2,2,0.635411831
3,2,0.240137309
-2,3,0.118146498
-1,3,0.177634075
0,3,0.315961487
1,3,0.189318199
2,3,0.427961674
