"Delta Herald Wavelength / pm","Delta Signal Wavelength / pm","Counts"
-220.8,-220.8,0
-220.8,-217.6,0
-220.8,-214.4,1.
-220.8,-211.2,0
-220.8,-208.,0
-220.8,-204.8,0
-220.8,-201.6,0
-220.8,-198.4,0
-220.8,-195.2,0
-220.8,-192.,0
-220.8,-188.8,0
-220.8,-185.6,0
-220.8,-182.4,0
-220.8,-179.2,0
-220.8,-176.,0
-220.8,-172.8,0
-220.8,-169.6,0
-220.8,-166.4,0
-220.8,-163.2,0
-220.8,-160.,0
-220.8,-156.8,0
-220.8,-153.6,0
-220.8,-150.4,0
-220.8,-147.2,0
-220.8,-144.,0
-220.8,-140.8,0
-220.8,-137.6,0
-220.8,-134.4,0
-220.8,-131.2,0
-220.8,-128.,0
-220.8,-124.8,1.
-220.8,-121.6,1.
-220.8,-118.4,0
-220.8,-115.2,1.
-220.8,-112.,0
-220.8,-108.8,0
-220.8,-105.6,1.
-220.8,-102.4,0
-220.8,-99.2,1.
-220.8,-96.,1.
-220.8,-92.8,0
-220.8,-89.6,0
-220.8,-86.4,0
-220.8,-83.2,0
-220.8,-80.,0
-220.8,-76.8,0
-220.8,-73.6,1.
-220.8,-70.4,2.
-220.8,-67.2,0
-220.8,-64.,0
-220.8,-60.8,1.
-220.8,-57.6,0
-220.8,-54.4,0
-220.8,-51.2,0
-220.8,-48.,0
-220.8,-44.8,0
-220.8,-41.6,2.
-220.8,-38.4,0
-220.8,-35.2,2.
-220.8,-32.,2.
-220.8,-28.8,3.
-220.8,-25.6,1.
-220.8,-22.4,3.
-220.8,-19.2,0
-220.8,-16.,2.
-220.8,-12.8,1.
-220.8,-9.6,4.
-220.8,-6.4,1.
-220.8,-3.2,6.
-220.8,0,4.
-220.8,3.2,2.
-220.8,6.4,4.
-220.8,9.6,3.
-220.8,12.8,1.
-220.8,16.,2.
-220.8,19.2,1.
-220.8,22.4,0
-220.8,25.6,1.
-220.8,28.8,0
-220.8,32.,5.
-220.8,35.2,0
-220.8,38.4,1.
-220.8,41.6,0
-220.8,44.8,1.
-220.8,48.,0
-220.8,51.2,1.
-220.8,54.4,0
-220.8,57.6,0
-220.8,60.8,0
-220.8,64.,0
-220.8,67.2,1.
-220.8,70.4,0
-220.8,73.6,1.
-220.8,76.8,0
-220.8,80.,0
-220.8,83.2,0
-220.8,86.4,0
-220.8,89.6,1.
-220.8,92.8,0
-220.8,96.,1.
-220.8,99.2,1.
-220.8,102.4,0
-220.8,105.6,0
-220.8,108.8,0
-220.8,112.,0
-220.8,115.2,0
-220.8,118.4,0
-220.8,121.6,1.
-220.8,124.8,1.
-220.8,128.,1.
-220.8,131.2,0
-220.8,134.4,0
-220.8,137.6,0
-220.8,140.8,0
-220.8,144.,0
-220.8,147.2,0
-220.8,150.4,0
-220.8,153.6,0
-220.8,156.8,0
-220.8,160.,1.
-220.8,163.2,0
-220.8,166.4,1.
-220.8,169.6,0
-220.8,172.8,0
-220.8,176.,1.
-220.8,179.2,0
-220.8,182.4,0
-220.8,185.6,0
-220.8,188.8,0
-220.8,192.,0
-220.8,195.2,0
-220.8,198.4,0
-220.8,201.6,0
-220.8,204.8,0
-220.8,208.,0
-220.8,211.2,0
-220.8,214.4,0
-220.8,217.6,0
-220.8,220.8,0
-217.6,-220.8,0
-217.6,-217.6,1.
-217.6,-214.4,0
-217.6,-211.2,0
-217.6,-208.,0
-217.6,-204.8,0
-217.6,-201.6,0
-217.6,-198.4,0
-217.6,-195.2,0
-217.6,-192.,0
-217.6,-188.8,0
-217.6,-185.6,0
-217.6,-182.4,0
-217.6,-179.2,0
-217.6,-176.,0
-217.6,-172.8,1.
-217.6,-169.6,0
-217.6,-166.4,0
-217.6,-163.2,0
-217.6,-160.,0
