die_x,die_y,loss_mdB
-2,-3,0.622825993
-1,-3,1.101960189
0,-3,1.158969866
1,-3,1.079554406
2,-3,0.968572113
-3,-2,1.424909733
-2,-2,1.164971871
-1,-2,1.524977457
0,-2,0.857874426
1,-2,0.65099081
2,-2,0.999049428
3,-2,1.007248898
-4,-1,1.356868157
-3,-1,1.502171758
-2,-1,1.550597345
-1,-1,1.182895334
0,-1,1.628659613
1,-1,1.094527038
2,-1,0.768878002
3,-1,1.27311575
4,-1,1.529752628
-4,0,1.794899954
-3,0,1.293701952
-2,0,1.249769815
-1,0,1.491492047
0,0,1.259513084
1,0,1.991358697
2,0,1.673519869
3,0,1.335738567
-4,1,0.640816717
-3,1,1.52863951
-2,1,1.795298592
-1,1,1.399550082
0,1,2.044522922
1,1,0.935806881
2,1,1.294937366
3,1,0.68682877
4,1,0.876515028
-3,2,0.524892921
-2,2,1.352406732
-1,2,1.702399966
0,2,1.061198125
1,2,1.346995459
2,2,0.859299181
3,2,1.591331831
-2,3,1.593689244
-1,3,1.191461869
0,3,0.821302464
1,3,1.180145844
4,0,1.178765173
