Freq (GHz),Response (dB)
0.09,-0.139640499
0.1,-0.156664836
0.11,-0.173594374
0.12,-0.190429388
0.13,-0.207170154
0.14,-0.223816946
0.15,-0.24037004
0.16,-0.256829711
0.17,-0.273196234
0.18,-0.289469885
0.19,-0.305650938
0.2,-0.321739669
0.21,-0.337736354
0.22,-0.353641267
0.23,-0.369454684
0.24,-0.38517688
0.25,-0.40080813
0.26,-0.41634871
0.27,-0.431798894
0.28,-0.447158959
0.29,-0.462429178
0.3,-0.477609828
0.31,-0.492701183
0.32,-0.50770352
0.33,-0.522617113
0.34,-0.537442237
0.35,-0.552179168
0.36,-0.56682818
0.37,-0.58138955
0.38,-0.595863552
0.39,-0.610250462
0.4,-0.624550555
0.41,-0.638764106
0.42,-0.65289139
0.43,-0.666932683
0.44,-0.680888259
0.45,-0.694758395
0.46,-0.708543365
0.47,-0.722243445
0.48,-0.73585891
0.49,-0.749390034
0.5,-0.762837094
0.51,-0.776200365
0.52,-0.789480121
0.53,-0.802676638
0.54,-0.815790192
0.55,-0.828821057
0.56,-0.841769509
0.57,-0.854635823
0.58,-0.867420274
0.59,-0.880123138
0.6,-0.892744689
0.61,-0.905285204
0.62,-0.917744956
0.63,-0.930124222
0.64,-0.942423277
0.65,-0.954642396
0.66,-0.966781854
0.67,-0.978841927
0.68,-0.990822889
0.69,-1.002725016
0.7,-1.014548584
0.71,-1.026293866
0.72,-1.03796114
0.73,-1.049550679
0.74,-1.06106276
0.75,-1.072497657
0.76,-1.083855645
0.77,-1.095137001
0.78,-1.106341998
0.79,-1.117470913
0.8,-1.128524021
0.81,-1.139501596
0.82,-1.150403915
0.83,-1.161231252
0.84,-1.171983883
0.85,-1.182662082
0.86,-1.193266125
0.87,-1.203796288
0.88,-1.214252846
0.89,-1.224636073
0.9,-1.234946245
0.91,-1.245183638
0.92,-1.255348526
0.93,-1.265441184
0.94,-1.275461889
0.95,-1.285410916
0.96,-1.295288538
0.97,-1.305095033
0.98,-1.314830674
0.99,-1.324495738
1,-1.334090499
1.01,-1.347562791
1.02,-1.356925604
1.03,-1.364536086
1.04,-1.373171138
1.05,-1.382105199
1.06,-1.389630546
1.07,-1.398614573
1.08,-1.407956236
1.09,-1.4148684
1.1,-1.424420043
1.11,-1.434369629
1.12,-1.440865
1.13,-1.449092693
1.14,-1.45794764
1.15,-1.464175684
1.16,-1.47309363
1.17,-1.482777721
1.18,-1.488970775
1.19,-1.499411656
1.2,-1.509947658
1.21,-1.515779589
1.22,-1.523959432
1.23,-1.532825684
1.24,-1.538985124
1.25,-1.545246704
1.26,-1.55422635
1.27,-1.562145097
1.28,-1.57215576
1.29,-1.579502316
1.3,-1.588121553
1.31,-1.599488659
1.32,-1.611754529
1.33,-1.620738296
1.34,-1.632028074
1.35,-1.63759036
1.36,-1.646505287
1.37,-1.65293085
1.38,-1.66306225
1.39,-1.6690656
1.4,-1.678261536
1.41,-1.684920435
1.42,-1.690724269
1.43,-1.697893696
1.44,-1.704660748
1.45,-1.711194461
1.46,-1.720127956
1.47,-1.72682777
1.48,-1.733727548
1.49,-1.741321859
1.5,-1.746425691
1.51,-1.754595824
1.52,-1.761735538
1.53,-1.768490738
1.54,-1.776564387
1.55,-1.783427108
1.56,-1.788745951
1.57,-1.795786135
1.58,-1.802447101
1.59,-1.807620179
1.6,-1.814960337
1.61,-1.821225296
1.62,-1.82571309
1.63,-1.832025002
1.64,-1.837256739
1.65,-1.84129678
1.66,-1.847743939
1.67,-1.853943674
1.68,-1.858353254
1.69,-1.864836814
1.7,-1.869266695
1.71,-1.87212494
1.72,-1.878001385
1.73,-1.882986875
1.74,-1.88636328
1.75,-1.892167377
1.76,-1.895851323
1.77,-1.897719841
1.78,-1.903271248
1.79,-1.906362364
1.8,-1.90878091
1.81,-1.914502217
1.82,-1.918053774
1.83,-1.919473651
1.84,-1.924649261
1.85,-1.927037641
1.86,-1.927461298
1.87,-1.93215193
1.88,-1.93448516
1.89,-1.935463131
1.9,-1.940266563
1.91,-1.942074664
1.92,-1.943170445
1.93,-1.947573708
1.94,-1.94934639
1.95,-1.950092426
1.96,-1.955029112
1.97,-1.956524277
1.98,-1.95680063
1.99,-1.960335701
2,-1.961327149
2.01,-1.961404594
2.02,-1.965083864
2.03,-1.965894971
2.04,-1.966051719
2.05,-1.969852194
2.06,-1.970143661
2.07,-1.969823341
2.08,-1.972724085
2.09,-1.973148101
2.1,-1.973210635
2.11,-1.976018029
2.12,-1.976136199
2.13,-1.976009256
2.14,-1.978986827
2.15,-1.979081895
2.16,-1.978622006
2.17,-1.981676938
2.18,-1.982203976
2.19,-1.982016115
2.2,-1.984843956
2.21,-1.985889674
2.22,-1.986994957
2.23,-1.990805935
2.24,-1.993371809
2.25,-1.996475588
2.26,-1.99881928
2.27,-2.000609848
2.28,-2.004158036
2.29,-2.005545606
2.3,-2.007657926
2.31,-2.012843954
2.32,-2.017336856
2.33,-2.019248349
2.34,-2.025819053
2.35,-2.030229093
2.36,-2.030380798
2.37,-2.034245275
2.38,-2.03906508
2.39,-2.040994205
2.4,-2.044961943
2.41,-2.051015772
2.42,-2.052967819
2.43,-2.055033352
2.44,-2.059580302
2.45,-2.062506769
2.46,-2.064681113
2.47,-2.06945166
2.48,-2.073681269
2.49,-2.078116579
2.5,-2.081460372
2.51,-2.0854019
2.52,-2.090426897
2.53,-2.093169706
2.54,-2.096797629
2.55,-2.10294769
2.56,-2.108182963
2.57,-2.111553866
2.58,-2.118346553
2.59,-2.123281838
2.6,-2.124981163
2.61,-2.130025393
2.62,-2.134991392
2.63,-2.137539873
2.64,-2.141966395
2.65,-2.147849815
2.66,-2.150723906
2.67,-2.152773572
2.68,-2.156190361
2.69,-2.158692085
2.7,-2.159685435
2.71,-2.162939502
2.72,-2.165813625
2.73,-2.168016508
2.74,-2.16914911
2.75,-2.171550866
2.76,-2.173340171
2.77,-2.172455226
2.78,-2.172648685
2.79,-2.175005816
2.8,-2.17640289
2.81,-2.17697974
2.82,-2.181414046
2.83,-2.183279567
2.84,-2.182035307
2.85,-2.184396314
2.86,-2.186594741
2.87,-2.186320519
2.88,-2.18978073
2.89,-2.193855594
2.9,-2.195789986
2.91,-2.1977761
2.92,-2.201016418
2.93,-2.202780199
2.94,-2.203589333
2.95,-2.206417571
2.96,-2.209584201
2.97,-2.213598313
2.98,-2.215606967
2.99,-2.219848317
3,-2.223591965
3.01,-2.224601636
3.02,-2.226687393
3.03,-2.23213233
3.04,-2.235206002
3.05,-2.237652708
3.06,-2.244192621
3.07,-2.247303364
3.08,-2.247823069
3.09,-2.25276662
3.1,-2.256108886
3.11,-2.256246762
3.12,-2.261977783
3.13,-2.266686781
3.14,-2.268993875
3.15,-2.272649657
3.16,-2.276735477
3.17,-2.279514149
3.18,-2.282751525
3.19,-2.286059169
3.2,-2.289820859
3.21,-2.295805927
3.22,-2.298758605
3.23,-2.303978385
3.24,-2.30972111
3.25,-2.311488938
3.26,-2.315312415
3.27,-2.319549993
3.28,-2.320779579
3.29,-2.324716281
3.3,-2.330268522
3.31,-2.33256548
3.32,-2.334364362
3.33,-2.338016413
3.34,-2.340437702
3.35,-2.341759037
3.36,-2.345809264
3.37,-2.349250755
3.38,-2.352788735
3.39,-2.355584778
3.4,-2.359203142
3.41,-2.362409767
3.42,-2.363364967
3.43,-2.365724433
3.44,-2.369975241
3.45,-2.373227412
3.46,-2.375247858
3.47,-2.380821308
3.48,-2.383601715
3.49,-2.383404739
3.5,-2.386537999
3.51,-2.389618839
3.52,-2.390015273
3.53,-2.393200807
3.54,-2.397395219
3.55,-2.39902153
3.56,-2.399908461
3.57,-2.402310804
3.58,-2.402475139
3.59,-2.405064398
3.6,-2.408861097
3.61,-2.409655164
3.62,-2.410451433
3.63,-2.412036746
3.64,-2.412963919
3.65,-2.413079631
3.66,-2.41458091
3.67,-2.415694423
3.68,-2.417392346
3.69,-2.41739005
3.7,-2.418296189
3.71,-2.419889397
3.72,-2.417847073
3.73,-2.417067257
3.74,-2.419462808
3.75,-2.419440138
3.76,-2.418277277
3.77,-2.421653506
3.78,-2.421095026
3.79,-2.418140957
3.8,-2.419446258
3.81,-2.419312897
3.82,-2.416468605
3.83,-2.418343842
3.84,-2.419776051
3.85,-2.418835584
3.86,-2.41928854
3.87,-2.419109777
3.88,-2.418343448
3.89,-2.418556795
3.9,-2.41899207
3.91,-2.419869122
3.92,-2.422559388
3.93,-2.4224948
3.94,-2.424466355
3.95,-2.427166222
3.96,-2.425530844
3.97,-2.425847754
3.98,-2.429725758
3.99,-2.430396166
4,-2.431288173
4.01,-2.436667213
4.02,-2.437490358
4.03,-2.43629153
4.04,-2.440273119
4.05,-2.441788012
4.06,-2.440487504
4.07,-2.444585348
4.08,-2.448007049
4.09,-2.449834961
4.1,-2.453013818
4.11,-2.455748167
4.12,-2.457773927
4.13,-2.460254618
4.14,-2.462841394
4.15,-2.466667823
4.16,-2.472188125
4.17,-2.474816635
4.18,-2.479779164
4.19,-2.485019197
4.2,-2.486090136
4.21,-2.488712824
4.22,-2.493686313
4.23,-2.495717007
4.24,-2.497200953
4.25,-2.502028365
4.26,-2.506136356
4.27,-2.506949725
4.28,-2.509859341
4.29,-2.515328076
4.3,-2.515704852
4.31,-2.517353095
4.32,-2.521122332
4.33,-2.524191312
4.34,-2.523815486
4.35,-2.52724406
4.36,-2.531506075
4.37,-2.53185208
4.38,-2.53363453
4.39,-2.537133611
4.4,-2.539310793
4.41,-2.539414926
4.42,-2.54369506
4.43,-2.547366773
4.44,-2.547288395
4.45,-2.549184931
4.46,-2.55363354
4.47,-2.554198238
4.48,-2.555380908
4.49,-2.558728147
4.5,-2.562051484
4.51,-2.561845986
4.52,-2.56416243
4.53,-2.568556071
4.54,-2.567876442
4.55,-2.568944403
4.56,-2.572060243
4.57,-2.574327856
4.58,-2.573643611
4.59,-2.577206026
4.6,-2.580861411
4.61,-2.580199879
4.62,-2.581556111
4.63,-2.584501542
4.64,-2.585703607
4.65,-2.585174018
4.66,-2.588367404
4.67,-2.59133312
4.68,-2.590359318
4.69,-2.591125953
4.7,-2.59457312
4.71,-2.59355823
4.72,-2.593613904
4.73,-2.596346322
4.74,-2.598702998
4.75,-2.597493831
4.76,-2.599741763
4.77,-2.603298739
4.78,-2.602552783
4.79,-2.603531499
4.8,-2.606614724
4.81,-2.608816862
4.82,-2.608164648
4.83,-2.612118811
4.84,-2.615551549
4.85,-2.615479264
4.86,-2.617575562
4.87,-2.621920942
4.88,-2.623754314
4.89,-2.624628925
4.9,-2.628939273
4.91,-2.632920303
4.92,-2.633309453
4.93,-2.635881561
4.94,-2.641124573
4.95,-2.641788391
4.96,-2.643312162
4.97,-2.647134951
4.98,-2.650389723
4.99,-2.650330454
5,-2.654656071
5.01,-2.660499625
5.02,-2.662697423
5.03,-2.666329315
5.04,-2.671475944
5.05,-2.67547547
5.06,-2.677927946
5.07,-2.683967722
5.08,-2.689343232
5.09,-2.691053638
5.1,-2.694797088
5.11,-2.7013818
5.12,-2.703414836
5.13,-2.705975497
5.14,-2.711211528
5.15,-2.716224745
5.16,-2.717644449
5.17,-2.721535857
5.18,-2.727806844
5.19,-2.729212397
5.2,-2.732504194
5.21,-2.737190833
5.22,-2.74151371
5.23,-2.742315272
5.24,-2.747539678
5.25,-2.752841148
5.26,-2.753865435
5.27,-2.756838571
5.28,-2.761874386
5.29,-2.764565809
5.3,-2.765786998
5.31,-2.770847657
5.32,-2.775658936
5.33,-2.77692589
5.34,-2.779654001
5.35,-2.784751284
5.36,-2.784908077
5.37,-2.786446981
5.38,-2.78987956
5.39,-2.793120494
5.4,-2.793059642
5.41,-2.795986912
5.42,-2.800216324
5.43,-2.800049536
5.44,-2.801289404
5.45,-2.804309032
5.46,-2.806503965
5.47,-2.806101073
5.48,-2.810101183
5.49,-2.813585264
5.5,-2.81301956
5.51,-2.814203336
5.52,-2.817472228
5.53,-2.817617967
5.54,-2.817294277
5.55,-2.82007182
5.56,-2.822722037
5.57,-2.822100904
5.58,-2.824004494
5.59,-2.824871657
5.6,-2.82158253
5.61,-2.822516107
5.62,-2.825861897
5.63,-2.826415232
5.64,-2.825435524
5.65,-2.828801922
5.66,-2.828376248
5.67,-2.824688565
5.68,-2.824724825
5.69,-2.826405397
5.7,-2.825557201
5.71,-2.82620083
5.72,-2.831131516
5.73,-2.831450395
5.74,-2.829064937
5.75,-2.829755791
5.76,-2.830971885
5.77,-2.828305851
5.78,-2.829506431
5.79,-2.834148644
5.8,-2.835003575
5.81,-2.834198539
5.82,-2.836999445
5.83,-2.837686448
5.84,-2.834273543
5.85,-2.835273839
5.86,-2.838812742
5.87,-2.839831311
5.88,-2.840114774
5.89,-2.844957626
5.9,-2.845556483
5.91,-2.843377532
5.92,-2.844286382
5.93,-2.846530007
5.94,-2.845512744
5.95,-2.846433888
5.96,-2.851368249
5.97,-2.85214876
5.98,-2.850520669
5.99,-2.852850049
6,-2.853869543
6.01,-2.85257585
6.02,-2.855628505
6.03,-2.858305144
6.04,-2.857295953
6.05,-2.858224776
6.06,-2.861975011
6.07,-2.861915629
6.08,-2.861823243
6.09,-2.864546983
6.1,-2.866805051
6.11,-2.866017893
6.12,-2.867488142
6.13,-2.871107656
6.14,-2.869886028
6.15,-2.870400824
6.16,-2.872909705
6.17,-2.874610448
6.18,-2.873140075
6.19,-2.876082498
6.2,-2.879383164
6.21,-2.878454144
6.22,-2.879392367
6.23,-2.882222049
6.24,-2.883548494
6.25,-2.882735889
6.26,-2.885871329
6.27,-2.888524428
6.28,-2.887868621
6.29,-2.889058919
6.3,-2.892836219
6.31,-2.892297646
6.32,-2.892501619
6.33,-2.895141281
6.34,-2.897153048
6.35,-2.895789977
6.36,-2.897650877
6.37,-2.901013967
6.38,-2.89995406
6.39,-2.900525922
6.4,-2.903087205
6.41,-2.904559753
6.42,-2.902958509
6.43,-2.906641787
6.44,-2.909579902
6.45,-2.908833854
6.46,-2.909705065
6.47,-2.913047556
6.48,-2.913363614
6.49,-2.913251756
6.5,-2.916512715
6.51,-2.919247054
6.52,-2.918453342
6.53,-2.919848792
6.54,-2.924092084
6.55,-2.923562073
6.56,-2.924439201
6.57,-2.927549149
6.58,-2.930008693
6.59,-2.929015838
6.6,-2.930684243
6.61,-2.934865812
6.62,-2.93435789
6.63,-2.93579871
6.64,-2.938628692
6.65,-2.94018892
6.66,-2.939515541
6.67,-2.942932616
6.68,-2.946355403
6.69,-2.946258701
6.7,-2.948380538
6.71,-2.953162175
6.72,-2.954338559
6.73,-2.955819747
6.74,-2.9600211
6.75,-2.963686438
6.76,-2.963818704
6.77,-2.966773648
6.78,-2.97207552
6.79,-2.972667919
6.8,-2.974678284
6.81,-2.978511513
6.82,-2.98174682
6.83,-2.981797478
6.84,-2.986507088
6.85,-2.991515603
6.86,-2.992341603
6.87,-2.994968445
6.88,-2.99940075
6.89,-3.002438675
6.9,-3.003358979
6.91,-3.008647885
6.92,-3.013779289
6.93,-3.015290497
6.94,-3.018769682
6.95,-3.024264065
6.96,-3.026219979
6.97,-3.028686545
6.98,-3.034168088
6.99,-3.039019976
7,-3.040223431
7.01,-3.043415396
7.02,-3.048112425
7.03,-3.048237123
7.04,-3.050290912
7.05,-3.054194249
7.06,-3.056483475
7.07,-3.056198397
7.08,-3.060933889
7.09,-3.065404659
7.1,-3.065781862
7.11,-3.067926075
7.12,-3.072471729
7.13,-3.074409072
7.14,-3.075295241
7.15,-3.079868588
7.16,-3.083831488
7.17,-3.084106354
7.18,-3.086315725
7.19,-3.091261286
7.2,-3.091430929
7.21,-3.092998138
7.22,-3.096975094
7.23,-3.100217266
7.24,-3.099780769
7.25,-3.102966233
7.26,-3.1076494
7.27,-3.107937003
7.28,-3.109998754
7.29,-3.113987437
7.3,-3.116626519
7.31,-3.116643743
7.32,-3.121196966
7.33,-3.124926255
7.34,-3.125094755
7.35,-3.127449899
7.36,-3.132284729
7.37,-3.133700938
7.38,-3.134925437
7.39,-3.138832616
7.4,-3.141822695
7.41,-3.14141585
7.42,-3.143786266
7.43,-3.148202854
7.44,-3.1478599
7.45,-3.148900036
7.46,-3.151962427
7.47,-3.153722518
7.48,-3.152292971
7.49,-3.154932591
7.5,-3.158339887
7.51,-3.157482141
7.52,-3.158543644
7.53,-3.161922419
7.54,-3.163298244
7.55,-3.162386759
7.56,-3.166067154
7.57,-3.169024592
7.58,-3.168357912
7.59,-3.169788865
7.6,-3.173846959
7.61,-3.174057761
7.62,-3.174734505
7.63,-3.178076696
7.64,-3.180779077
7.65,-3.180244113
7.66,-3.182789228
7.67,-3.187470349
7.68,-3.187533574
7.69,-3.189033834
7.7,-3.192339957
7.71,-3.194507421
7.72,-3.193663012
7.73,-3.197675957
7.74,-3.20133429
7.75,-3.20097547
7.76,-3.202847288
7.77,-3.20685352
7.78,-3.208365556
7.79,-3.208137988
7.8,-3.212122244
7.81,-3.215174177
7.82,-3.214966412
7.83,-3.21667745
7.84,-3.221304963
7.85,-3.221255337
7.86,-3.222361701
7.87,-3.225875601
7.88,-3.22880685
7.89,-3.227908325
7.9,-3.230471941
7.91,-3.234671053
7.92,-3.234502825
7.93,-3.236196546
7.94,-3.239835639
7.95,-3.242628419
7.96,-3.242806787
7.97,-3.247295136
7.98,-3.251549608
7.99,-3.250929182
8,-3.253218865
8.01,-3.256300517
8.02,-3.2561413
8.03,-3.258667181
8.04,-3.264915087
8.05,-3.266971658
8.06,-3.267264146
8.07,-3.27080942
8.08,-3.273003424
8.09,-3.271244523
8.1,-3.273942931
8.11,-3.279459484
8.12,-3.281831049
8.13,-3.283263894
8.14,-3.28947539
8.15,-3.291539029
8.16,-3.290222017
8.17,-3.292919125
8.18,-3.297279187
8.19,-3.29814973
8.2,-3.300150362
8.21,-3.30708934
8.22,-3.309508033
8.23,-3.308902868
8.24,-3.311023268
8.25,-3.31381229
8.26,-3.31310979
8.27,-3.31551118
8.28,-3.321490475
8.29,-3.323735208
8.3,-3.324222414
8.31,-3.328477474
8.32,-3.330869217
8.33,-3.329515291
8.34,-3.332094496
8.35,-3.337421551
8.36,-3.339368915
8.37,-3.341101592
8.38,-3.347344529
8.39,-3.349647064
8.4,-3.348769795
8.41,-3.351062409
8.42,-3.355052937
8.43,-3.355157623
8.44,-3.357264616
8.45,-3.361205545
8.46,-3.360986627
8.47,-3.362463924
8.48,-3.366359516
8.49,-3.368026832
8.5,-3.367211823
8.51,-3.370899418
8.52,-3.373423942
8.53,-3.37309071
8.54,-3.374878998
8.55,-3.379290531
8.56,-3.380102219
8.57,-3.380576142
8.58,-3.384089803
8.59,-3.386695152
8.6,-3.386586296
8.61,-3.388012175
8.62,-3.391994296
8.63,-3.391405995
8.64,-3.392374201
8.65,-3.395873061
8.66,-3.398117219
8.67,-3.397360054
8.68,-3.400755922
8.69,-3.404764539
8.7,-3.40460226
8.71,-3.406178552
8.72,-3.410372399
8.73,-3.412200343
8.74,-3.412137493
8.75,-3.416090377
8.76,-3.419267796
